,Pitch,F1,F2,F3,F4,,,
Raiva,0.8815467491,12.916112919200001,29.215719468099998,44.339968472399995,56.9275882579,,,
Raiva,1.9280576256,8.643224435399999,23.109415257,38.0504708152,52.6175814734,,,
Raiva,0.8967857662000001,11.3183901583,25.853701722100002,39.7882105979,50.9677177898,,,
Raiva,2.2961742867,11.498350656700001,31.127344306399998,53.9186373427,68.1537985675,,,35.46% de acerto
Raiva,1.7057836802000002,11.88495921,30.1094140929,49.171600842,61.7502940301,,,
Raiva,2.1590217827,10.1470993772,24.970367615700003,42.917933912399995,57.4978192347,,,
Raiva,2.1113117448,10.7717767643,29.980996890900002,50.182137968999996,68.2104509034,,,
Raiva,1.0535311917,8.197826424199999,22.8071415673,36.9805755519,47.561284571899996,,,
Raiva,1.5374577549000001,10.5984317261,27.3658094082,45.245717633999995,61.83811510100001,,,
Raiva,0.8752334792,11.143186260899999,26.778570739,45.0918337057,58.676022914200004,,,
Raiva,1.1899144595,10.0779119226,25.1979700335,41.8268553165,54.3896192295,,,
Raiva,2.3043339045,8.9029851676,24.660741492399996,39.5615242738,53.286411492700005,,,
Raiva,2.0075196478999997,11.5229134302,30.6297780073,45.449436427100004,62.263355381400004,,,
Raiva,2.0893552356,10.5670581233,26.9720457631,47.9413608981,62.9756294629,,,
Raiva,0.9353897918,11.6628830342,29.6429358181,45.0500054432,58.0457251354,,,
Raiva,1.0862093219,9.0171326198,24.2465472373,37.9948115762,50.1964587601,,,
Raiva,2.1261099569,12.178856258699998,28.7510757073,50.0076145965,64.7149079899,,,
Raiva,2.0621956574,9.3030678134,25.0344800069,43.249368319700004,60.9584059715,,,
Tedio,1.266314857,16.8455595931,39.6806480113,57.6006744672,79.3287161114,,,
Tedio,1.5156150252,15.683970249200001,39.2974031369,60.8745639023,81.43773688729999,,,
Tedio,0.9960900138,17.6752860075,41.382617125900005,62.2144695303,81.0987630889,,,
Tedio,1.1569026034999998,16.9159581481,40.530343764099996,63.8453136059,83.1300193701,,,
Tedio,0.9917364783,18.4081425088,40.5008317572,62.614015733500004,80.7281871437,,,
Tedio,0.9163416041,22.5329850925,48.7045886493,71.7716713367,91.8941733715,,,
Tedio,1.3692859453,17.6864200614,38.7276178748,55.693570289700006,72.2831251268,,,
Tedio,1.2808551020999999,20.311699673299998,45.1503512792,72.0936939059,92.6268001755,,,
Tedio,2.5152514344,19.6957841449,47.934066025,73.4651137484,95.6967736966,,,
Tedio,1.0108108512,17.6242362366,39.5399184753,62.775299948400004,81.5699559952,,,
Tedio,1.490280866,17.8569360406,43.0399094132,71.581060255,92.3400892367,,,
Tedio,0.8758915134,17.280720286300003,40.327071192,60.1946030196,77.7883155385,,,
Tedio,1.4365440381999999,16.5589491211,37.6117184001,55.1341394415,71.5242120293,,,
Tedio,1.1795506895999999,16.9423107364,39.537392491,63.7074516634,82.7800181217,,,
Medo,1.6654618302000002,6.9402294932,17.3804553603,27.374361504099998,36.3772717753,,,
Medo,1.0974667688,7.1228831389,16.7879244141,27.7896002389,35.863227616799996,,,
Medo,0.663797393,8.228236111900001,19.1719214417,28.785490786799997,37.5504238814,,,
Medo,0.6545631843,12.745646546600002,23.4481297958,33.9241041804,39.5744323043,,,
Medo,1.7236877003,9.223484187,23.1008252498,35.4271744233,46.607008739899996,,,
Medo,1.9168708722,9.147658824199999,21.5965857752,33.6247786677,48.962261741899994,,,
Medo,2.0827970953,5.553905692100001,20.1367401674,31.9150736856,42.425919826,,,
Medo,0.8088537209000001,6.2550614289999995,14.9949855238,22.963973115599998,29.218091087399998,,,
Medo,0.6792428762999999,9.2308440341,19.7489933854,29.66886102,36.334908691,,,
Medo,1.6074437163,7.619118230900001,19.6830538748,29.055026975,38.6921330872,,,
Medo,1.6055330013,10.4813793388,22.4565925275,34.8155406442,45.8062171674,,,
Medo,1.3594979728999999,9.626596363099999,22.119305662600002,31.6658230731,43.8197948131,,,
Medo,1.2972445602,8.621598152,19.8226631343,30.1253860134,37.9429511087,,,
Medo,1.0601325349,7.099969675800001,18.3671074528,28.210725034899998,35.8593216199,,,
Medo,1.4993613587,6.6711291884,18.5703380728,28.9280898627,38.4954296093,,,
Medo,1.5225831237,7.884026589199999,17.2810657867,27.5738578966,38.2387822208,,,
Medo,0.9551355793,9.402900796299999,21.281685820499998,31.321209315300003,41.0291690644,,,
Medo,1.5845031841,7.051909307100001,17.7097358408,28.7333087073,39.4170174121,,,
