,Pitch,TCZ,,,
Raiva,0.881546749132641,0.114420180722892,,,
Raiva,1.24042557804129,0.122617574257426,,,29.79% de acerto
Raiva,0.783828740157521,0.087458881578947,,,Quase excluiu medo
Raiva,0.8918086084588349,0.100140449438202,,,
Raiva,1.16522397407252,0.11257697044335001,,,
Raiva,0.896785766181412,0.10080782312925199,,,
Raiva,1.1537706505593401,0.17407178217821803,,,
Raiva,0.529992834386443,0.062381329113924,,,
Raiva,1.18524113857543,0.138616071428571,,,
Raiva,1.0751254596699398,0.10302835051546401,,,
Raiva,0.9034282640364251,0.072084888059702,,,
Raiva,0.636396960942338,0.10478515625,,,
Raiva,0.7550220598198522,0.082444105691057,,,
Raiva,0.529763359536327,0.07515625,,,
Raiva,1.0535311916991401,0.073511904761905,,,
Raiva,0.6789959159117919,0.113731060606061,,,
Raiva,0.452752121312204,0.09341517857142899,,,
Raiva,0.8752334791988309,0.106791907514451,,,
Raiva,1.18991445945577,0.12515243902439,,,
Raiva,1.2485394333735802,0.107894736842105,,,
Raiva,0.735372480779658,0.09721200980392199,,,
Raiva,0.9353897918492159,0.068128765060241,,,
Raiva,1.17022103664316,0.0959375,,,
Raiva,1.0862093219051998,0.07030241935483901,,,
Raiva,0.7668420092815359,0.118359375,,,
Raiva,0.588786257259976,0.11972222222222198,,,
Raiva,0.6752651503081051,0.12559267241379302,,,
Raiva,0.80984705031875,0.08885690789473699,,,
Tedio,1.50752180072097,0.10848651960784302,,,
Tedio,1.51561502515427,0.06982106854838702,,,
Tedio,2.1614459433038102,0.06104910714285701,,,
Tedio,1.36928594528521,0.146258600917431,,,
Tedio,1.4902808660411,0.05371028428093701,,,
Tedio,1.68518764672121,0.122125,,,
Tedio,1.4365440381841101,0.096607545045045,,,
Tedio,1.8484344775767299,0.11368915929203599,,,
Tedio,1.75054751873014,0.068907640949555,,,
Medo,6.589300837494591,0.239875,,,
Felicidade,2.66160353922093,0.16261942675159197,,,
Felicidade,2.2578786027295403,0.193943798449612,,,
Felicidade,2.75450882240317,0.130890052356021,,,
Felicidade,2.54100839030302,0.17520032051282097,,,
Felicidade,2.84957478865326,0.22322916666666698,,,
Felicidade,2.36947631565006,0.159836065573771,,,
Felicidade,2.75632605995421,0.125414540816327,,,
Felicidade,3.47874423448573,0.17182348901098898,,,
Felicidade,3.0671014042447595,0.170466321243523,,,
Felicidade,2.55090342577655,0.11985828488372098,,,
Felicidade,2.2023849767610497,0.162145390070922,,,
Felicidade,2.42356138223614,0.117934782608696,,,
Felicidade,2.63234747649487,0.148834745762712,,,
Felicidade,2.20133732037448,0.146619496855346,,,
Felicidade,3.08217497673662,0.10513888888888902,,,
Felicidade,2.20226849242285,0.1582275390625,,,
Felicidade,2.85644094825956,0.20818536931818202,,,
Felicidade,2.7548345483419503,0.11369724025974,,,
